"file","match","reason"
"2026-02-12-ai-model-pricing-guide.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-coding-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-coding-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-hallucination-test.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-how-to-choose-ai-model.md","5.3-Codex-Spark","Not listed in official OpenAI model references."
"2026-02-12-how-to-choose-ai-model.md","5.3-Codex-Spark","Not listed in official OpenAI model references."
"2026-02-12-how-to-choose-ai-model.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-how-to-choose-ai-model.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-how-to-choose-ai-model.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-how-to-choose-ai-model.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-how-to-choose-ai-model.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-how-to-choose-ai-model.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-model-eval-scorecard.md","5.3-Codex-Spark","Not listed in official OpenAI model references."
"2026-02-12-model-eval-scorecard.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-model-eval-scorecard.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-model-eval-scorecard.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-reasoning-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-reasoning-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-reasoning-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-tool-use-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-tool-use-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-12-tool-use-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-13-ai-model-latency-comparison.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-ai-model-latency-comparison.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-ai-model-pricing-2026.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-ai-model-pricing-2026.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-ai-model-pricing-2026.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-ai-model-speed-test.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-ai-model-speed-test.md","Claude 4o","No official Anthropic model named Claude 4o."
"2026-02-13-coding-benchmark.md","5.3-Codex-Spark","Not listed in official OpenAI model references."
"2026-02-13-coding-benchmark.md","5.3-Codex-Spark","Not listed in official OpenAI model references."
"2026-02-13-coding-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-13-coding-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-02-13-coding-benchmark.md","Kimi K2.5","Public provider docs could not be validated in this build."
